title,id,authors,abstract,journal,published
"Observation of near-critical reflection of internal waves in a stably
  stratified fluid",http://arxiv.org/abs/physics/0311125v1,"['Thierry Dauxois', 'Anthony Didier', 'Eric Falcon']","  An experimental study is reported of the near-critical reflection of internal
gravity waves over sloping topography in a stratified fluid. An overturning
instability close to the slope and triggering the boundary-mixing process is
observed and characterized. These observations are found in good agreement with
a recent nonlinear theory.
",Physics of Fluids 16 (2004) 1936,2003-11-25 16:46:10+00:00
Metaphoric optical computing of fluid dynamics,http://arxiv.org/abs/physics/0604149v1,"['Mankei Tsang', 'Demetri Psaltis']","  We present theoretical and numerical evidence to show that self-defocusing
nonlinear optical propagation can be used to compute Euler fluid dynamics and
possibly Navier-Stokes fluid dynamics. In particular, the formation of twin
vortices and the K\'arm\'an vortex street behind an obstacle, two well-known
viscous fluid phenomena, is numerically demonstrated using the nonlinear
Schr\""odinger equation.
",None,2006-04-18 23:11:33+00:00
Dynamics effects in gradient theory for fluid mixtures,http://arxiv.org/abs/0804.0338v1,['Henri Gouin'],"  We propose a new method to study motions of mixtures in fluid interfaces. We
extend the equations of equilibrium in interfaces and the results associated
with travelling waves for van der Waals like fluids. Maxwell rule is extended
to interfaces of fluid mixtures out of equilibrium. Formulae like Clapeyron
relation are obtained for isothermal layers.
",IMA Volumes in Mathematics and its Applications 52 (1993) 111-121,2008-04-02 12:08:38+00:00
"Volumetric 3-component velocimetry measurements of the flow around a
  Rushton turbine: A fluid dynamics video",http://arxiv.org/abs/0910.2290v1,"['K. V. Sharp', 'D. F. Hill', 'D. Troolin', 'G. Walters', 'W. Lai']","  This article describes a video uploaded to the APS DFD Annual Meeting 2009
Gallery of Fluid Motion. The video contains both animations and still images
from a three-dimensional volumetric velocimetry measurement set acquired in the
flow around a Rushton turbine.
",None,2009-10-13 17:56:07+00:00
Spontaneous vortex generation at 3-phase contact line,http://arxiv.org/abs/1110.2923v1,"['Tae-Hong Kim', 'Ho-Young Kim']","  This article describes the fluid dynamics video for ""Spontaneous vortex
generation at 3-phase contact line"" presented at the 64th Annual Meeting of the
APS Division of Fluid Dynamics in Baltimore, Maryland, November 20-22, 2011.
",None,2011-10-13 12:57:00+00:00
Fluid Mechanics of Everyday Objects,http://arxiv.org/abs/1310.2670v1,"['N. J. Parziale', 'J. S. Jewell', 'B. E. Schmidt', 'J. Rabinovitch', 'R. Dunne']","  High speed Schlieren videos were produced highlighting the fluid mechanics
found in everyday objects. This video (entry 102369) was submitted as part of
the Gallery of Fluid Motion 2013, which is a showcase of fluid dynamics videos.
",None,2013-10-10 00:23:33+00:00
Liquid-solid impacts of yield-stress fluids,http://arxiv.org/abs/1310.4186v1,"['Marc E. Deetjen', 'Brendan C. Blackwell', 'Joseph E. Gaudio', 'Randy H. Ewoldt']","  This is an entry to the Gallery of Fluid Motion at the 66th annual meeting of
the APS-DFD, held November 2013 in Pittsburgh, PA. In this fluid dynamics video
we demonstrate distinct features of yield-stress fluid droplets impacting
pre-coated surfaces.
",None,2013-10-12 18:45:10+00:00
Bubble Rings Entrapment,http://arxiv.org/abs/1210.3836v1,"['Marie-Jean Thoraval', 'Sigurdur T. Thoroddsen', 'Kohsei Takehara', 'Takeharu Goji Etoh']","  We show how micro-bubble rings are entrapped under a drop impacting onto a
pool surface. This fluid dynamics video is submitted to the APS DFD Gallery of
Fluid Motion 2012, part of the 65th Annual Meeting of the American Physical
Society's Division of Fluid Dynamics (18-20 November, San Diego, CA, USA).
",None,2012-10-14 20:27:12+00:00
Fluid Flow at Branching Junctions,http://arxiv.org/abs/1309.0227v1,['Taha Sochi'],"  The flow of fluids at branching junctions plays important kinematic and
dynamic roles in most biological and industrial flow systems. The present paper
highlights some key issues related to the flow of fluids at these junctions
with special emphasis on the biological flow networks particularly blood
transportation vasculature.
","International Journal of Fluid Mechanics Research, Volume 42,
  Issue 1, pages 59-81, 2015",2013-09-01 14:48:34+00:00
Nucleation of a non-critical phase in a fluid near a critical point,http://arxiv.org/abs/cond-mat/0010154v1,['Richard P. Sear'],"  Phase diagrams of some globular proteins have a fluid-fluid transition as
well as a fluid-crystal transition. Homogeneous nucleation of the crystal from
the fluid phase near the critical point of the fluid-fluid transition is
examined. As the fluid-fluid critical point is approached, the number of
molecules in the critical nucleus, the nucleus at the top of the free energy
barrier to nucleation, is found to diverge as the isothermal compressibility.
This divergence is due to a layer of the fluid phase of width equal to the
fluid's correlation length which surrounds the core of the nucleus; the number
of molecules in a crystalline environment in the nucleus does not diverge. The
free energy barrier to nucleation remains finite but its derivative with
respect to the chemical potential is equal to minus the number of molecules in
the critical nucleus and so diverges.
",Journal of Chemical Physics v114 3170-3173 (2001),2000-10-11 09:04:15+00:00
Exact pressure evolution equation for incompressible fluids,http://arxiv.org/abs/0806.4817v1,"['M. Tessarotto', 'M. Ellero', 'N. Aslan', 'M. Mond', 'P. Nicolini']","  An important aspect of computational fluid dynamics is related to the
determination of the fluid pressure in isothermal incompressible fluids. In
particular this concerns the construction of an exact evolution equation for
the fluid pressure which replaces the Poisson equation and yields an algorithm
which is a Poisson solver, i.e., it permits to time-advance exactly the same
fluid pressure \textit{without solving the Poisson equation}% . In fact, the
incompressible Navier-Stokes equations represent a mixture of hyperbolic and
elliptic pde's, which are extremely hard to study both analytically and
numerically. In this paper we intend to show that an exact solution to this
problem can be achieved adopting the approach based on inverse kinetic theory
(IKT) recently developed for incompressible fluids by Ellero and Tessarotto
(2004-2007). In particular we intend to prove that the evolution of the fluid
fields can be achieved by means of a suitable dynamical system, to be
identified with the so-called Navier-Stokes (N-S) dynamical system. As a
consequence it is found that the fluid pressure obeys a well-defined evolution
equation. The result appears relevant for the construction of Lagrangian
approaches to fluid dynamics.
","AIP Conf.Proc.1084:224-229,2009",2008-06-30 07:53:42+00:00
Lagrangian dynamics of thermal tracer particles in Navier-Stokes fluids,http://arxiv.org/abs/0906.1058v1,"['Massimo Tessarotto', 'Claudio Cremaschini', 'Marco Tessarotto']","  A key issue in fluid dynamics is the definition of the phase-space Lagrangian
dynamics characterizing prescribed ideal fluids (i.e., continua), which is
related to the dynamics of so-called \textit{ideal tracer particles} moving in
the same fluids. These are by definition particles of infinitesimal size which
do not produce significant perturbations of the fluid fields and do not
interact among themselves. In this work we point out that the phase-space
Lagrangian description of incompressible Navier-Stokes fluids can be achieved
by means of a particular subset of ideal tracer particles, denoted as thermal
particles. For these particles the magnitude of their relative velocities -
with respect to the local fluid velocity - is solely determined by the kinetic
pressure, in turn, uniquely related to the fluid pressure. The dynamics of
thermal tracer particles is shown to generate the time-evolution of the fluid
fields by means of a suitable statistical model. The result is reached
introducing a 1-D statistical description of the fluid exclusively based on the
ensemble of thermal tracer particles. In particular, it is proven that the
statistic of thermal particles can be uniquely defined requiring that for these
particles the directions of their initial relative velocities are defined by a
suitable family of random coplanar unit vectors.
",None,2009-06-05 08:28:50+00:00
"The compressible viscous surface-internal wave problem: stability and
  vanishing surface tension limit",http://arxiv.org/abs/1501.07579v1,"['Juhi Jang', 'Ian Tice', 'Yanjin Wang']","  This paper concerns the dynamics of two layers of compressible, barotropic,
viscous fluid lying atop one another. The lower fluid is bounded below by a
rigid bottom, and the upper fluid is bounded above by a trivial fluid of
constant pressure. This is a free boundary problem: the interfaces between the
fluids and above the upper fluid are free to move. The fluids are acted on by
gravity in the bulk, and at the free interfaces we consider both the case of
surface tension and the case of no surface forces. We establish a sharp
nonlinear global-in-time stability criterion and give the explicit decay rates
to the equilibrium. When the upper fluid is heavier than the lower fluid along
the equilibrium interface, we characterize the set of surface tension values in
which the equilibrium is nonlinearly stable. Remarkably, this set is non-empty,
i.e. sufficiently large surface tension can prevent the onset of the
Rayleigh-Taylor instability. When the lower fluid is heavier than the upper
fluid, we show that the equilibrium is stable for all non-negative surface
tensions and we establish the zero surface tension limit.
",None,2015-01-29 20:32:17+00:00
Stability Analysis of Non-Newtonian Rimming Flow,http://arxiv.org/abs/1509.05102v1,"['Sergei Fomin', 'Ravi Shankar', 'Peter Haine']","  The rimming flow of a viscoelastic thin film inside a rotating horizontal
cylinder is studied theoretically. Attention is given to the onset of
non-Newtonian free-surface instability in creeping flow. This non-inertial
instability has been observed in experiments, but current theoretical models of
Newtonian fluids can neither describe its origin nor explain its onset. This
study examines two models of non Newtonian fluids to see if the experimentally
observed instability can be predicted analytically. The non-Newtonian viscosity
and elastic properties of the fluid are described by the Generalized Newtonian
Fluid (GNF) and Second Order Viscoelastic Fluid (SOVF) constitutive models,
respectively. With linear stability analysis, it is found that, analogously to
the Newtonian fluid, rimming flow of viscous non-Newtonian fluids (modeled by
GNF) is neutrally stable. However, the viscoelastic properties of the fluid
(modeled by SOVF) are found to contribute to the flow destabilization. The
instability is shown to increase as the cylinder rotation rate is lowered, from
which the fluid accumulates in a pool on the rising wall. Viscoelastic effects
coupled with this pooling cause the fluid's angular stretching, which is
suggested to be responsible for this onset of instability.
",None,2015-09-17 02:10:47+00:00
"Elasto-capillarity Simulations based on the Navier-Stokes-Cahn-Hilliard
  Equations",http://arxiv.org/abs/1510.02441v1,"['E. H. van Brummelen', 'M. Shokrpour-Roudbari', 'G. J. van Zwieten']","  We consider a computational model for complex-fluid-solid interaction based
on a diffuse-interface model for the complex fluid and a hyperelastic-material
model for the solid. The diffuse-interface complex-fluid model is described by
the incompressible Navier-Stokes-Cahn-Hilliard equations with
preferential-wetting boundary conditions at the fluid-solid interface. The
corresponding fluid traction on the interface includes a capillary-stress
contribution, and the dynamic interface condition comprises the traction
exerted by the non-uniform fluid-solid surface tension. We present a weak
formulation of the aggregated complex-fluid-solid-interaction problem, based on
an Arbitrary-Lagrangian-Eulerian formulation of the Navier-Stokes-Cahn-Hilliard
equations and a proper reformulation of the complex-fluid traction and the
fluid-solid surface tension. To validate the presented
complex-fluid-solid-interaction model, we present numerical results and conduct
a comparison to experimental data for a droplet on a soft substrate.
",None,2015-10-08 18:51:13+00:00
"PolyPIC: the Polymorphic-Particle-in-Cell Method for Fluid-Kinetic
  Coupling",http://arxiv.org/abs/1807.05183v1,"['Stefano Markidis', 'Vyacheslav Olshevsky', 'Chaitanya Prasad Sishtla', 'Steven Wei-der Chien', 'Erwin Laure', 'Giovanni Lapenta']","  Particle-in-Cell (PIC) methods are widely used computational tools for fluid
and kinetic plasma modeling. While both the fluid and kinetic PIC approaches
have been successfully used to target either kinetic or fluid simulations,
little was done to combine fluid and kinetic particles under the same PIC
framework. This work addresses this issue by proposing a new PIC method,
PolyPIC, that uses polymorphic computational particles. In this numerical
scheme, particles can be either kinetic or fluid, and fluid particles can
become kinetic when necessary, e.g. particles undergoing a strong acceleration.
We design and implement the PolyPIC method, and test it against the Landau
damping of Langmuir and ion acoustic waves, two stream instability and sheath
formation. We unify the fluid and kinetic PIC methods under one common
framework comprising both fluid and kinetic particles, providing a tool for
adaptive fluid-kinetic coupling in plasma simulations.
","Frontiers in Physics, 6 (2018), 100",2018-07-13 17:13:11+00:00
